 ,Greedy,Uniform,A*,Dijkstras
Traffic:,52,46,46,46
Traffic:,105,86,86,86
Traffic:,98,98,98,98
Traffic:,68,68,68,68
Traffic:,134,132,132,132
Traffic:,419,390,390,390
Traffic:,670,595,597,601
Traffic:,84,77,77,77
Traffic:,359,232,232,235
Traffic:,212,212,212,212
Traffic:,231,231,231,231
Traffic:,165,165,165,165
Traffic:,99,99,99,99
Traffic:,196,195,195,195
Traffic:,7,7,7,7
Traffic:,44,44,44,44
Traffic:,71,68,68,68
Traffic:,126,90,90,90
Traffic:,81,81,81,81
Traffic:,66,66,66,66
Traffic:,137,132,132,132
Traffic:,379,344,344,344
Traffic:,669,588,588,588
Traffic:,70,66,66,66
Traffic:,330,198,198,198
Traffic:,219,219,219,219
Traffic:,189,183,183,183
Traffic:,191,181,181,181
Traffic:,98,98,98,98
Traffic:,196,185,185,185
Traffic:,16,16,16,16
Traffic:,37,37,37,37
Traffic:,69,64,64,64
Traffic:,105,95,95,95
Traffic:,104,104,104,104
Traffic:,78,78,78,78
Traffic:,158,151,151,151
Traffic:,434,409,409,411
Traffic:,698,603,603,603
Traffic:,67,66,66,66
Traffic:,331,170,170,170
Traffic:,185,185,185,185
Traffic:,209,206,206,206
Traffic:,173,160,160,160
Traffic:,100,100,100,100
Traffic:,177,177,177,177
Traffic:,15,15,15,15
Traffic:,39,39,39,39
Traffic:,58,48,48,48
Traffic:,134,102,102,102
Traffic:,93,93,93,93
Traffic:,69,69,69,69
Traffic:,151,138,138,138
Traffic:,406,376,376,378
Traffic:,608,557,557,557
Traffic:,67,67,67,67
Traffic:,355,201,201,201
Traffic:,201,201,201,201
Traffic:,210,210,210,210
Traffic:,159,159,159,159
Traffic:,83,77,77,77
Traffic:,210,201,201,201
Traffic:,6,6,6,6
Traffic:,42,42,42,42
Traffic:,75,74,74,74
Traffic:,112,86,86,86
Traffic:,109,101,101,101
Traffic:,67,67,67,67
Traffic:,146,146,146,146
Traffic:,441,414,414,414
Traffic:,666,608,610,608
Traffic:,77,73,73,73
Traffic:,303,190,190,190
Traffic:,227,227,227,227
Traffic:,208,204,204,204
Traffic:,175,156,156,156
Traffic:,113,109,109,109
Traffic:,190,180,180,180
Traffic:,15,15,15,15
Traffic:,47,47,47,47
Traffic:,92,67,67,67
Traffic:,150,133,134,133
Traffic:,119,119,119,119
Traffic:,72,72,72,72
Traffic:,142,142,142,142
Traffic:,417,379,379,382
Traffic:,706,606,607,606
Traffic:,111,108,108,108
Traffic:,375,225,226,225
Traffic:,223,223,223,223
Traffic:,226,226,226,226
Traffic:,140,140,140,140
Traffic:,123,123,123,123
Traffic:,164,164,164,164
