 ,Greedy,WeightedA*,A*,Dijkstras, ,Greedy,WeightedA*,A*,Dijkstras
Time:,1.318101167678833,1.5719859600067139,3.893338680267334,3.819243907928467,Traffic:,351,244,213,212
Time:,1.4377970695495605,1.692763090133667,4.001749515533447,3.925715684890747,Traffic:,217,217,217,217
Time:,1.4933521747589111,1.7456953525543213,4.067108631134033,3.993727922439575,Traffic:,215,215,215,215
Time:,1.5368962287902832,1.8045852184295654,4.160980701446533,4.088099002838135,Traffic:,182,182,170,169
Time:,1.563965082168579,1.832463264465332,4.219237565994263,4.157447099685669,Traffic:,98,98,98,98
Time:,1.6117820739746094,1.8830502033233643,4.299656629562378,4.25397515296936,Traffic:,180,180,162,162


Time:,0.0015249252319335938,0.0014560222625732422,0.002178192138671875,0.00140380859375,Traffic:,19,19,19,19
Time:,0.01147007942199707,0.009874820709228516,0.009955167770385742,0.010187625885009766,Traffic:,39,39,39,39
Time:,0.048133134841918945,0.06049203872680664,0.06295514106750488,0.05941152572631836,Traffic:,88,80,68,68
Time:,0.08284115791320801,0.10646915435791016,0.11794900894165039,0.11476540565490723,Traffic:,170,134,126,126
Time:,0.1087648868560791,0.14359021186828613,0.16916584968566895,0.16587042808532715,Traffic:,92,92,92,92
Time:,0.12916898727416992,0.16444802284240723,0.2002100944519043,0.1979963779449463,Traffic:,80,80,80,80
Time:,0.1686878204345703,0.20681500434875488,0.2808201313018799,0.28411245346069336,Traffic:,105,105,105,105
Time:,0.3069908618927002,0.4823591709136963,0.6760449409484863,0.7656025886535645,Traffic:,422,405,399,399
Time:,0.6727337837219238,0.9975252151489258,2.7829501628875732,2.573387384414673,Traffic:,736,629,611,612
Time:,0.6942999362945557,1.019200086593628,2.8125369548797607,2.6070635318756104,Traffic:,55,55,54,54
Time:,1.2128257751464844,1.552565097808838,3.7536370754241943,3.5885963439941406,Traffic:,326,203,188,188
Time:,1.3026108741760254,1.6354210376739502,3.844057083129883,3.683683395385742,Traffic:,160,160,160,160
Time:,1.3501017093658447,1.683302879333496,3.8986382484436035,3.745818614959717,Traffic:,201,201,201,201
Time:,1.393683671951294,1.7463438510894775,3.9959120750427246,3.8427886962890625,Traffic:,182,182,177,177
Time:,1.4194016456604004,1.7743327617645264,4.040961265563965,3.893253803253174,Traffic:,87,87,83,83
Time:,1.4701406955718994,1.8256549835205078,4.147455215454102,4.0057196617126465,Traffic:,187,187,187,187


Time:,0.0016169548034667969,0.0015480518341064453,0.0013821125030517578,0.0014889240264892578,Traffic:,10,10,10,10
Time:,0.010922908782958984,0.009207010269165039,0.009910345077514648,0.010260820388793945,Traffic:,34,34,34,34
Time:,0.04659271240234375,0.0428159236907959,0.05980825424194336,0.060869693756103516,Traffic:,61,56,56,56
Time:,0.08204960823059082,0.08978867530822754,0.11510324478149414,0.12715673446655273,Traffic:,119,116,112,112
Time:,0.10851788520812988,0.12072896957397461,0.15590119361877441,0.16974377632141113,Traffic:,87,87,87,87
Time:,0.12859892845153809,0.1415860652923584,0.1860342025756836,0.20154094696044922,Traffic:,68,68,68,68
Time:,0.16770195960998535,0.18141913414001465,0.26281309127807617,0.2816340923309326,Traffic:,92,92,91,91
Time:,0.2998690605163574,0.4520571231842041,0.6412708759307861,0.6680960655212402,Traffic:,393,393,381,381
Time:,0.6619400978088379,0.9383161067962646,2.2457637786865234,2.5375850200653076,Traffic:,651,637,598,599
Time:,0.6822819709777832,0.9589419364929199,2.275686502456665,2.5721702575683594,Traffic:,60,60,53,53
Time:,1.2070848941802979,1.5960469245910645,3.7016074657440186,3.9319214820861816,Traffic:,322,211,195,194
Time:,1.3201148509979248,1.695235013961792,3.8236143589019775,4.066368341445923,Traffic:,243,243,243,243
Time:,1.3681046962738037,1.7449901103973389,3.896855354309082,4.158296585083008,Traffic:,228,228,228,228
Time:,1.4121026992797852,1.7970972061157227,4.026582717895508,4.25361180305481,Traffic:,168,168,168,168
Time:,1.4388487339019775,1.822378396987915,4.08211088180542,4.312282562255859,Traffic:,88,88,88,88
Time:,1.4851348400115967,1.870807409286499,4.173492908477783,4.410825490951538,Traffic:,172,172,162,162


Time:,0.0016829967498779297,0.0024890899658203125,0.0015289783477783203,0.0013670921325683594,Traffic:,14,14,14,14
Time:,0.00970911979675293,0.009936809539794922,0.008787155151367188,0.009890079498291016,Traffic:,42,42,42,42
Time:,0.04171276092529297,0.05198860168457031,0.05941009521484375,0.05888938903808594,Traffic:,81,81,75,75
Time:,0.07322287559509277,0.08395171165466309,0.09490799903869629,0.0953986644744873,Traffic:,135,69,69,69
Time:,0.09784364700317383,0.11428666114807129,0.16331720352172852,0.16075658798217773,Traffic:,104,104,104,104
Time:,0.1238868236541748,0.13939952850341797,0.19965720176696777,0.19442462921142578,Traffic:,47,47,47,47
Time:,0.16280794143676758,0.1836543083190918,0.29204702377319336,0.2925405502319336,Traffic:,154,154,147,146
Time:,0.30384397506713867,0.5077641010284424,0.6729922294616699,0.6788184642791748,Traffic:,411,382,382,382
Time:,0.6639420986175537,0.9775340557098389,2.23640513420105,2.345844268798828,Traffic:,625,571,553,553
Time:,0.6845002174377441,0.999701738357544,2.2771143913269043,2.393874168395996,Traffic:,82,82,76,76
Time:,1.2545802593231201,1.7446188926696777,3.5287532806396484,3.6667094230651855,Traffic:,326,266,221,221
Time:,1.3463594913482666,1.8378968238830566,3.633183240890503,3.770594358444214,Traffic:,187,187,187,187
Time:,1.396660566329956,1.8890297412872314,3.697420358657837,3.8329343795776367,Traffic:,245,245,240,240
Time:,1.4415624141693115,1.9444105625152588,3.7930190563201904,3.9301395416259766,Traffic:,146,146,146,146
Time:,1.469611406326294,1.9715275764465332,3.854485034942627,4.001216650009155,Traffic:,109,109,108,108
Time:,1.5195462703704834,2.0219056606292725,3.951101064682007,4.104340553283691,Traffic:,207,207,193,193


Time:,0.0016293525695800781,0.0016069412231445312,0.0015401840209960938,0.0013880729675292969,Traffic:,12,12,12,12
Time:,0.0108642578125,0.009757041931152344,0.00898599624633789,0.009769916534423828,Traffic:,50,50,50,50
Time:,0.04538607597351074,0.05105996131896973,0.05489611625671387,0.05763602256774902,Traffic:,63,58,55,55
Time:,0.07895493507385254,0.09679794311523438,0.10772919654846191,0.11208486557006836,Traffic:,134,108,106,106
Time:,0.1045539379119873,0.13021373748779297,0.15458440780639648,0.16205978393554688,Traffic:,107,107,107,107
Time:,0.12490010261535645,0.15323376655578613,0.18689656257629395,0.19700980186462402,Traffic:,83,83,83,83
Time:,0.16580533981323242,0.20255661010742188,0.2766737937927246,0.29494285583496094,Traffic:,136,136,136,136
Time:,0.30123329162597656,0.5110244750976562,0.6485006809234619,0.6911537647247314,Traffic:,417,393,386,386
Time:,0.7099802494049072,1.0541174411773682,2.4401345252990723,2.665764570236206,Traffic:,708,623,613,613
Time:,0.7339382171630859,1.082092523574829,2.482144594192505,2.718313694000244,Traffic:,88,88,86,86
Time:,1.328819990158081,1.856125831604004,3.75787353515625,4.121571779251099,Traffic:,326,229,185,184
Time:,1.489912748336792,1.9810748100280762,3.8913376331329346,4.278075933456421,Traffic:,165,165,165,165
Time:,1.5599868297576904,2.0477237701416016,3.971935510635376,4.352762222290039,Traffic:,211,211,208,208
Time:,1.612041711807251,2.096552610397339,4.065099716186523,4.447030305862427,Traffic:,151,151,151,151
Time:,1.6422655582427979,2.1259987354278564,4.129393815994263,4.5170581340789795,Traffic:,106,106,106,106
Time:,1.7105684280395508,2.1886887550354004,4.247875690460205,4.64771032333374,Traffic:,168,168,168,168


Time:,0.0019299983978271484,0.0016901493072509766,0.0014290809631347656,0.0015850067138671875,Traffic:,8,8,8,8
Time:,0.011090278625488281,0.01077127456665039,0.009209156036376953,0.009714126586914062,Traffic:,36,36,36,36
Time:,0.04481911659240723,0.05382537841796875,0.0772852897644043,0.08177924156188965,Traffic:,71,67,57,57
Time:,0.09358692169189453,0.1134481430053711,0.1563892364501953,0.1621685028076172,Traffic:,140,112,112,112
Time:,0.12976694107055664,0.152008056640625,0.2166740894317627,0.2174975872039795,Traffic:,84,84,84,84
Time:,0.1499919891357422,0.17197108268737793,0.2488241195678711,0.2505767345428467,Traffic:,63,63,63,63
Time:,0.18912506103515625,0.22243928909301758,0.3443591594696045,0.342254638671875,Traffic:,159,159,156,156
Time:,0.33595705032348633,0.5432720184326172,0.7763023376464844,0.7975645065307617,Traffic:,415,401,397,397
Time:,0.6962230205535889,1.0630197525024414,2.5874435901641846,2.6013054847717285,Traffic:,636,598,589,589
Time:,0.7168800830841064,1.0839006900787354,2.6325786113739014,2.6508543491363525,Traffic:,81,81,78,78
Time:,1.2580101490020752,1.7231264114379883,3.90913462638855,3.9518752098083496,Traffic:,343,234,220,221
Time:,1.352621078491211,1.8170065879821777,4.035160541534424,4.0550315380096436,Traffic:,173,173,173,173
Time:,1.40183424949646,1.868389368057251,4.101955413818359,4.1162028312683105,Traffic:,214,214,214,214
Time:,1.4438714981079102,1.9280142784118652,4.197018623352051,4.212270021438599,Traffic:,186,186,174,176
Time:,1.470017433166504,1.9552855491638184,4.249471426010132,4.269073963165283,Traffic:,111,111,109,109
Time:,1.5181403160095215,2.0033934116363525,4.349916458129883,4.371903896331787,Traffic:,162,162,161,161


Time:,0.0017349720001220703,0.0014498233795166016,0.002162933349609375,0.0014426708221435547,Traffic:,12,12,12,12
Time:,0.01088094711303711,0.010325908660888672,0.010000944137573242,0.009361743927001953,Traffic:,46,46,46,46
Time:,0.04430985450744629,0.047698974609375,0.052343130111694336,0.05466270446777344,Traffic:,70,48,48,48
Time:,0.0769808292388916,0.08910322189331055,0.1002812385559082,0.1054384708404541,Traffic:,117,87,87,87
Time:,0.10172200202941895,0.11405110359191895,0.14530324935913086,0.1516103744506836,Traffic:,98,98,98,98
Time:,0.12227511405944824,0.135209321975708,0.1772003173828125,0.18426132202148438,Traffic:,80,80,80,80
Time:,0.16232013702392578,0.1852724552154541,0.28467535972595215,0.28035640716552734,Traffic:,155,147,143,143
Time:,0.3123903274536133,0.4428997039794922,0.7984752655029297,0.7503855228424072,Traffic:,413,389,359,359
Time:,0.7972180843353271,0.8982465267181396,2.376277208328247,2.5024144649505615,Traffic:,692,612,589,589
Time:,0.8177793025970459,0.9263026714324951,2.422563314437866,2.5494015216827393,Traffic:,78,78,75,75
Time:,1.338690996170044,1.5392687320709229,3.480513572692871,3.66725754737854,Traffic:,349,237,198,198
Time:,1.4306950569152832,1.6363027095794678,3.581570625305176,3.766338586807251,Traffic:,208,208,208,208
Time:,1.4787311553955078,1.6843235492706299,3.639901638031006,3.8286373615264893,Traffic:,217,217,212,212
Time:,1.5239372253417969,1.7325103282928467,3.7288873195648193,3.922823190689087,Traffic:,156,156,156,156
Time:,1.5505702495574951,1.759352207183838,3.7799901962280273,3.981828451156616,Traffic:,90,90,84,84
Time:,1.5966029167175293,1.80721116065979,3.882754325866699,4.089440584182739,Traffic:,169,169,169,169


Time:,0.0015659332275390625,0.0015501976013183594,0.0016810894012451172,0.00140380859375,Traffic:,7,7,7,7
Time:,0.010977745056152344,0.009540319442749023,0.010385751724243164,0.00970768928527832,Traffic:,56,56,56,56
Time:,0.039530038833618164,0.04123234748840332,0.057254791259765625,0.05582165718078613,Traffic:,70,57,57,60
Time:,0.07094097137451172,0.08075618743896484,0.1114964485168457,0.1116018295288086,Traffic:,120,109,102,102
Time:,0.09702873229980469,0.11027216911315918,0.16129565238952637,0.16170287132263184,Traffic:,120,120,120,120
Time:,0.11805963516235352,0.13125300407409668,0.1923818588256836,0.19492673873901367,Traffic:,64,64,64,64
Time:,0.1580514907836914,0.17239809036254883,0.2766988277435303,0.2826087474822998,Traffic:,148,148,145,145
Time:,0.2917945384979248,0.4692530632019043,0.6557450294494629,0.6598999500274658,Traffic:,405,371,369,369
Time:,0.648399829864502,0.9096882343292236,2.166002035140991,2.348701000213623,Traffic:,616,559,532,532
Time:,0.6679327487945557,0.9335451126098633,2.2117209434509277,2.3927829265594482,Traffic:,79,79,73,73
Time:,1.1638517379760742,1.4772930145263672,3.2601850032806396,3.5993239879608154,Traffic:,370,243,217,216
Time:,1.256666898727417,1.5682013034820557,3.3609659671783447,3.701268196105957,Traffic:,196,196,196,196
Time:,1.3054118156433105,1.6183862686157227,3.4243099689483643,3.7662482261657715,Traffic:,217,217,217,217
Time:,1.3501737117767334,1.6671640872955322,3.515434980392456,3.859985113143921,Traffic:,171,171,171,171
Time:,1.3768274784088135,1.6937119960784912,3.569326162338257,3.9180362224578857,Traffic:,79,79,76,76
Time:,1.42539644241333,1.740783929824829,3.6712450981140137,4.030409097671509,Traffic:,195,195,185,185


Time:,0.0015511512756347656,0.001421213150024414,0.00133514404296875,0.0014529228210449219,Traffic:,6,6,6,6
Time:,0.009382247924804688,0.008887529373168945,0.00967097282409668,0.008672952651977539,Traffic:,42,42,42,42
Time:,0.03811526298522949,0.04528665542602539,0.07819819450378418,0.08093881607055664,Traffic:,59,57,57,59
Time:,0.07878732681274414,0.09936380386352539,0.15064311027526855,0.14342784881591797,Traffic:,113,115,113,112
Time:,0.10524630546569824,0.12496590614318848,0.19177937507629395,0.19104576110839844,Traffic:,89,89,89,89
Time:,0.1278080940246582,0.1482100486755371,0.22333455085754395,0.22336363792419434,Traffic:,78,78,78,78
Time:,0.1677241325378418,0.1892681121826172,0.3010094165802002,0.308349609375,Traffic:,118,118,118,118
Time:,0.3033640384674072,0.44466686248779297,0.6759593486785889,0.6872406005859375,Traffic:,376,360,357,357
Time:,0.6544499397277832,0.9562208652496338,2.0980422496795654,2.2281718254089355,Traffic:,707,612,565,565
Time:,0.6758129596710205,0.9787945747375488,2.136136293411255,2.269484758377075,Traffic:,88,88,88,88
Time:,1.2036919593811035,1.603468656539917,3.0301501750946045,3.289787769317627,Traffic:,311,213,174,175
Time:,1.2967588901519775,1.6993327140808105,3.1314122676849365,3.3911349773406982,Traffic:,216,216,216,216
Time:,1.3457560539245605,1.7464487552642822,3.194293260574341,3.4536938667297363,Traffic:,225,225,225,225
Time:,1.3899188041687012,1.7973248958587646,3.2843103408813477,3.548412799835205,Traffic:,176,176,176,176
Time:,1.4175968170166016,1.8256518840789795,3.3448214530944824,3.6168618202209473,Traffic:,118,118,118,118
Time:,1.4653408527374268,1.8748610019683838,3.4478237628936768,3.722308874130249,Traffic:,194,194,194,194


Time:,0.0017390251159667969,0.001508951187133789,0.0016057491302490234,0.001306772232055664,Traffic:,9,9,9,9
Time:,0.01006317138671875,0.009171009063720703,0.00903463363647461,0.008780717849731445,Traffic:,27,27,27,27
Time:,0.044103145599365234,0.05668830871582031,0.0540928840637207,0.05347585678100586,Traffic:,84,80,72,72
Time:,0.07762336730957031,0.10051536560058594,0.10842466354370117,0.11297488212585449,Traffic:,111,104,100,100
Time:,0.1027824878692627,0.12572050094604492,0.1570284366607666,0.1634509563446045,Traffic:,108,108,108,108
Time:,0.12337255477905273,0.1476435661315918,0.18684077262878418,0.19398283958435059,Traffic:,66,66,66,66
