 ,Greedy,Weighted-A*,A*,Dijkstras, ,Greedy,Weighted-A*,A*,Dijkstras
Time:,0.5625560283660889,0.8305556774139404,1.9439778327941895,2.0169997215270996,Traffic:,732,658,645,645
Time:,0.5806701183319092,0.8519778251647949,1.979369878768921,2.053954839706421,Traffic:,80,80,77,77
Time:,1.0391592979431152,1.3973915576934814,2.908687114715576,3.017418622970581,Traffic:,336,238,189,189
Time:,1.121732234954834,1.4860236644744873,2.9959800243377686,3.1071925163269043,Traffic:,193,193,193,193
Time:,1.1658964157104492,1.530592679977417,3.0494561195373535,3.160250425338745,Traffic:,194,194,191,191
Time:,1.2082805633544922,1.5759387016296387,3.1363720893859863,3.2446343898773193,Traffic:,181,181,181,181
Time:,1.2340033054351807,1.5997328758239746,3.1813981533050537,3.2941975593566895,Traffic:,93,93,91,91
Time:,1.27681303024292,1.6451416015625,3.2679250240325928,3.391502618789673,Traffic:,175,175,175,175
Time:,0.001332998275756836,0.0012860298156738281,0.0012950897216796875,0.001215219497680664,Traffic:,8,8,8,8
Time:,0.008315801620483398,0.008621931076049805,0.008576393127441406,0.009189367294311523,Traffic:,55,55,55,55
Time:,0.03326058387756348,0.04250001907348633,0.05452370643615723,0.056130409240722656,Traffic:,83,68,63,62
Time:,0.062018632888793945,0.07363295555114746,0.10062575340270996,0.10225057601928711,Traffic:,128,97,97,97
Time:,0.08724761009216309,0.09896326065063477,0.1445157527923584,0.14593267440795898,Traffic:,105,105,105,105
Time:,0.10514974594116211,0.11916422843933105,0.17243075370788574,0.17468762397766113,Traffic:,56,56,56,56
Time:,0.14094996452331543,0.16135311126708984,0.2573666572570801,0.25777173042297363,Traffic:,165,165,161,161
Time:,0.26326894760131836,0.4529879093170166,0.6054046154022217,0.600773811340332,Traffic:,422,425,394,393
Time:,0.5748026371002197,0.8733010292053223,2.0235207080841064,2.073777914047241,Traffic:,694,615,585,587
Time:,0.5953595638275146,0.8926563262939453,2.0620546340942383,2.1139328479766846,Traffic:,81,81,81,81
Time:,1.065873622894287,1.4113280773162842,2.9643969535827637,3.0628597736358643,Traffic:,328,220,194,194
Time:,1.1574985980987549,1.4956748485565186,3.060559034347534,3.1550326347351074,Traffic:,191,191,191,191
Time:,1.2009315490722656,1.543522834777832,3.112287998199463,3.215238571166992,Traffic:,206,206,206,206
Time:,1.2395875453948975,1.588430643081665,3.19110107421875,3.2966206073760986,Traffic:,149,149,149,149
Time:,1.2665247917175293,1.6124646663665771,3.234499216079712,3.3483664989471436,Traffic:,94,94,94,94
Time:,1.3085167407989502,1.654658555984497,3.3206238746643066,3.4380054473876953,Traffic:,175,175,175,175
Time:,0.0013561248779296875,0.0013930797576904297,0.0012829303741455078,0.0011768341064453125,Traffic:,7,7,7,7
Time:,0.00839686393737793,0.008085966110229492,0.00783991813659668,0.008609771728515625,Traffic:,46,46,46,46
Time:,0.06606578826904297,0.04240608215332031,0.052056074142456055,0.051325082778930664,Traffic:,64,64,63,63
Time:,0.09506487846374512,0.0779271125793457,0.09908223152160645,0.0975182056427002,Traffic:,125,100,96,96
Time:,0.11781191825866699,0.10070204734802246,0.1395263671875,0.13856840133666992,Traffic:,91,91,91,91
Time:,0.13564682006835938,0.11746406555175781,0.16242241859436035,0.16247034072875977,Traffic:,49,49,49,49
Time:,0.170440673828125,0.1650099754333496,0.24710869789123535,0.24751520156860352,Traffic:,181,181,179,179
Time:,0.3038444519042969,0.43686389923095703,0.5742638111114502,0.5792844295501709,Traffic:,405,398,386,386
Time:,0.6120364665985107,0.8701319694519043,1.8985509872436523,2.000417470932007,Traffic:,657,622,580,580
Time:,0.6302244663238525,0.8905589580535889,1.9256000518798828,2.0276763439178467,Traffic:,47,47,47,47
Time:,1.1021103858947754,1.4591879844665527,2.839527130126953,3.0006730556488037,Traffic:,361,228,198,198
Time:,1.1881053447723389,1.5463438034057617,2.9343371391296387,3.091620922088623,Traffic:,199,199,199,199
Time:,1.233487606048584,1.5958356857299805,2.989577054977417,3.148279905319214,Traffic:,241,241,240,240
Time:,1.2739582061767578,1.641448736190796,3.0723929405212402,3.242309093475342,Traffic:,173,173,173,173
Time:,1.3005473613739014,1.667914628982544,3.1245779991149902,3.301132917404175,Traffic:,88,88,85,85
Time:,1.3436036109924316,1.7154297828674316,3.21950101852417,3.416425943374634,Traffic:,187,187,185,185
Time:,0.0015611648559570312,0.0014181137084960938,0.001425027847290039,0.001432180404663086,Traffic:,6,6,6,6
Time:,0.009260177612304688,0.008340120315551758,0.008107185363769531,0.008175849914550781,Traffic:,33,33,33,33
Time:,0.036219120025634766,0.042725324630737305,0.04828238487243652,0.048684120178222656,Traffic:,59,49,49,49
Time:,0.06481623649597168,0.07942628860473633,0.09114527702331543,0.09257125854492188,Traffic:,119,88,88,88
Time:,0.08800029754638672,0.1044313907623291,0.13077211380004883,0.1343982219696045,Traffic:,107,107,107,107
Time:,0.10541129112243652,0.12338137626647949,0.15900135040283203,0.16200900077819824,Traffic:,79,79,79,79
Time:,0.14185142517089844,0.16506338119506836,0.23591923713684082,0.24555182456970215,Traffic:,136,136,134,134
Time:,0.26519060134887695,0.4037444591522217,0.5718371868133545,0.5878767967224121,Traffic:,401,370,370,370
Time:,0.573859691619873,0.9797723293304443,2.002868890762329,2.070783853530884,Traffic:,724,692,656,656
Time:,0.5938687324523926,1.002805233001709,2.0354039669036865,2.108365774154663,Traffic:,89,89,89,89
Time:,1.0571587085723877,1.5577151775360107,3.0737929344177246,3.1862857341766357,Traffic:,340,239,213,213
Time:,1.141521692276001,1.6450233459472656,3.164206027984619,3.276606798171997,Traffic:,201,201,201,201
Time:,1.184882640838623,1.6901981830596924,3.219310998916626,3.334094762802124,Traffic:,190,190,190,190
Time:,1.223132610321045,1.7342753410339355,3.3019046783447266,3.417185068130493,Traffic:,157,157,157,157
Time:,1.2470996379852295,1.758615255355835,3.344216823577881,3.4640560150146484,Traffic:,70,70,67,67
Time:,1.2912695407867432,1.8034319877624512,3.4254589080810547,3.5490338802337646,Traffic:,219,219,201,201
Time:,0.001257181167602539,0.0013279914855957031,0.0012428760528564453,0.0011849403381347656,Traffic:,9,9,9,9
Time:,0.008059263229370117,0.008888959884643555,0.008701801300048828,0.008352994918823242,Traffic:,46,46,46,46
Time:,0.03566312789916992,0.043686866760253906,0.053302764892578125,0.05256390571594238,Traffic:,81,77,69,68
Time:,0.06376099586486816,0.07356476783752441,0.09707307815551758,0.09531807899475098,Traffic:,115,95,95,95
Time:,0.08933401107788086,0.09643673896789551,0.14267826080322266,0.1388390064239502,Traffic:,107,107,107,107
Time:,0.10687899589538574,0.11467981338500977,0.17165613174438477,0.17014312744140625,Traffic:,77,77,77,77
Time:,0.14145398139953613,0.15406250953674316,0.25036001205444336,0.2498912811279297,Traffic:,115,115,109,109
Time:,0.26377105712890625,0.42998647689819336,0.5911388397216797,0.5917811393737793,Traffic:,406,384,381,384
Time:,0.5813319683074951,0.9711196422576904,1.9661741256713867,2.0465590953826904,Traffic:,666,645,625,625
Time:,0.5998380184173584,0.9916856288909912,2.0055971145629883,2.087556838989258,Traffic:,66,66,66,66
Time:,1.0635349750518799,1.5707354545593262,2.8575761318206787,2.9884159564971924,Traffic:,312,230,186,186
Time:,1.1452152729034424,1.6492714881896973,2.9426321983337402,3.077378034591675,Traffic:,145,145,145,145
Time:,1.1902143955230713,1.6931655406951904,2.9974923133850098,3.133178949356079,Traffic:,204,204,198,198
Time:,1.2301533222198486,1.7362685203552246,3.0754783153533936,3.2163748741149902,Traffic:,155,155,155,155
Time:,1.254474401473999,1.7641568183898926,3.1264491081237793,3.2740399837493896,Traffic:,89,89,89,89
Time:,1.2980313301086426,1.8187048435211182,3.2294390201568604,3.3769657611846924,Traffic:,180,180,180,180
Time:,0.0013689994812011719,0.0012629032135009766,0.0013060569763183594,0.0012478828430175781,Traffic:,3,3,3,3
Time:,0.008321762084960938,0.008800029754638672,0.008246421813964844,0.008944034576416016,Traffic:,45,45,45,45
Time:,0.06844186782836914,0.042005062103271484,0.04999661445617676,0.05158090591430664,Traffic:,56,54,50,50
Time:,0.09765315055847168,0.07266426086425781,0.10312867164611816,0.10563206672668457,Traffic:,118,104,103,103
Time:,0.12271404266357422,0.10517549514770508,0.1459057331085205,0.1483440399169922,Traffic:,115,115,115,115
Time:,0.14052700996398926,0.1242363452911377,0.1758408546447754,0.17710399627685547,Traffic:,94,94,94,94
Time:,0.17441701889038086,0.16600656509399414,0.2588808536529541,0.25936198234558105,Traffic:,143,143,139,139
Time:,0.297976016998291,0.3927426338195801,0.597883939743042,0.5953500270843506,Traffic:,389,370,366,365
Time:,0.6066968441009521,0.773801326751709,1.938338041305542,1.9974610805511475,Traffic:,670,617,602,603
Time:,0.6247720718383789,0.7956023216247559,1.9830501079559326,2.0390260219573975,Traffic:,89,89,87,87
Time:,1.085658073425293,1.3403284549713135,2.936645984649658,3.0551669597625732,Traffic:,331,235,189,189
Time:,1.1696810722351074,1.4245455265045166,3.0284228324890137,3.146470069885254,Traffic:,192,192,192,192
Time:,1.2129950523376465,1.471238613128662,3.076833724975586,3.1951920986175537,Traffic:,196,196,196,196
Time:,1.2531452178955078,1.5256679058074951,3.162932872772217,3.2804248332977295,Traffic:,203,189,190,188
Time:,1.2761752605438232,1.5508897304534912,3.213170051574707,3.3369288444519043,Traffic:,112,112,107,107
Time:,1.3196825981140137,1.592862844467163,3.309648036956787,3.433567762374878,Traffic:,210,210,207,207
Time:,0.0012831687927246094,0.0012590885162353516,0.0012760162353515625,0.0011909008026123047,Traffic:,8,8,8,8
Time:,0.00838613510131836,0.008443117141723633,0.008809089660644531,0.008114814758300781,Traffic:,42,42,42,42
Time:,0.03403615951538086,0.07120895385742188,0.05029106140136719,0.04934811592102051,Traffic:,76,71,71,71
Time:,0.06391215324401855,0.10750961303710938,0.0893700122833252,0.09105992317199707,Traffic:,154,114,103,103
Time:,0.08651018142700195,0.14055132865905762,0.13629579544067383,0.13486170768737793,Traffic:,123,123,123,123
Time:,0.10388708114624023,0.16011834144592285,0.16570377349853516,0.167555570602417,Traffic:,73,73,73,73
Time:,0.13957691192626953,0.1958465576171875,0.24559283256530762,0.25014376640319824,Traffic:,138,138,138,138
Time:,0.2622220516204834,0.44287753105163574,0.5772519111633301,0.5844035148620605,Traffic:,390,359,359,362
Time:,0.5730719566345215,0.8407156467437744,1.7935969829559326,1.8647475242614746,Traffic:,580,571,543,542
Time:,0.5913140773773193,0.858400821685791,1.815434217453003,1.8942036628723145,Traffic:,53,53,53,55
Time:,1.062108039855957,1.3394877910614014,2.8243181705474854,3.0580456256866455,Traffic:,323,194,187,188
Time:,1.1611969470977783,1.4266717433929443,2.911546230316162,3.15030574798584,Traffic:,181,181,181,181
Time:,1.2068088054656982,1.4713249206542969,2.96718692779541,3.205528736114502,Traffic:,179,179,179,179
Time:,1.2469167709350586,1.530344009399414,3.054360866546631,3.301464796066284,Traffic:,203,203,187,187
Time:,1.2761249542236328,1.55826997756958,3.1063737869262695,3.354487657546997,Traffic:,89,89,89,89
Time:,1.3228721618652344,1.6056499481201172,3.21150541305542,3.498063802719116,Traffic:,189,189,181,181
Time:,0.0017120838165283203,0.0020160675048828125,0.00152587890625,0.0017049312591552734,Traffic:,12,12,12,12
Time:,0.010992050170898438,0.012334823608398438,0.011385917663574219,0.013147830963134766,Traffic:,24,24,24,24
Time:,0.05477309226989746,0.06824302673339844,0.07793068885803223,0.06988883018493652,Traffic:,102,95,94,94
Time:,0.09287810325622559,0.1137549877166748,0.13124656677246094,0.130234956741333,Traffic:,125,116,116,116
