 ,Greedy,Uniform,A*,Dijkstras, ,Greedy,Uniform,A*,Dijkstras
Time:,1.2429287433624268,3.472774028778076,3.2966129779815674,3.486166000366211,Traffic:,178,178,178,178
Time:,1.288956642150879,3.5345301628112793,3.356729030609131,3.5484039783477783,Traffic:,192,187,187,187
Time:,1.333120346069336,3.6279051303863525,3.4495341777801514,3.6435699462890625,Traffic:,181,181,181,181
Time:,1.3593342304229736,3.6991121768951416,3.516883134841919,3.718015670776367,Traffic:,102,101,101,101
Time:,1.4061782360076904,3.796858072280884,3.607875108718872,3.818035840988159,Traffic:,148,148,148,148


Time:,0.0017828941345214844,0.0024580955505371094,0.0013728141784667969,0.0014281272888183594,Traffic:,13,13,13,13
Time:,0.009931087493896484,0.010013341903686523,0.008668899536132812,0.008622407913208008,Traffic:,41,41,41,41
Time:,0.03754401206970215,0.05876564979553223,0.054167747497558594,0.0554964542388916,Traffic:,93,69,69,69
Time:,0.06916213035583496,0.10725164413452148,0.1006166934967041,0.11099648475646973,Traffic:,122,81,81,81
Time:,0.09403300285339355,0.1573946475982666,0.14888978004455566,0.15870881080627441,Traffic:,106,106,106,106
Time:,0.11391592025756836,0.19822263717651367,0.18458986282348633,0.1999526023864746,Traffic:,88,88,88,88
Time:,0.15158510208129883,0.290008544921875,0.2758355140686035,0.2895205020904541,Traffic:,150,150,150,150
Time:,0.2860872745513916,0.668494701385498,0.6491436958312988,0.6664316654205322,Traffic:,405,391,391,392
Time:,0.6319682598114014,2.2593348026275635,2.4891605377197266,2.291111469268799,Traffic:,661,580,580,584
Time:,0.6524693965911865,2.300165891647339,2.5248594284057617,2.3334286212921143,Traffic:,62,62,62,62
Time:,1.1650793552398682,3.4166617393493652,3.6095874309539795,3.545497417449951,Traffic:,310,194,194,194
Time:,1.2644023895263672,3.5623395442962646,3.728994607925415,3.663862466812134,Traffic:,185,185,185,185
Time:,1.3177876472473145,3.6303975582122803,3.791827440261841,3.7256274223327637,Traffic:,212,206,206,206
Time:,1.3606922626495361,3.724036455154419,3.9044172763824463,3.8785412311553955,Traffic:,175,163,163,163
Time:,1.3960471153259277,3.7978415489196777,3.965602397918701,3.958540201187134,Traffic:,124,124,124,124
Time:,1.450998067855835,3.9079434871673584,4.071964502334595,4.068777084350586,Traffic:,164,164,164,164


Time:,0.0016498565673828125,0.0014541149139404297,0.0013988018035888672,0.0013659000396728516,Traffic:,17,17,17,17
Time:,0.010560750961303711,0.009570121765136719,0.011614799499511719,0.011293888092041016,Traffic:,42,42,42,42
Time:,0.04240846633911133,0.05715799331665039,0.060080766677856445,0.06229877471923828,Traffic:,67,65,65,65
Time:,0.07577252388000488,0.11919903755187988,0.13423585891723633,0.12896203994750977,Traffic:,127,118,118,118
Time:,0.1058206558227539,0.17560315132141113,0.19064021110534668,0.1841437816619873,Traffic:,109,109,109,109
Time:,0.13136577606201172,0.21229004859924316,0.2263932228088379,0.22364449501037598,Traffic:,65,65,65,65
Time:,0.18167972564697266,0.32537293434143066,0.33927130699157715,0.32514429092407227,Traffic:,156,151,151,151
Time:,0.3141508102416992,0.7024610042572021,0.7111821174621582,0.7066152095794678,Traffic:,459,422,422,422
Time:,0.6643197536468506,2.4097862243652344,2.4172332286834717,2.423220157623291,Traffic:,681,604,604,605
